GRBa,GRB X-ray position,Error,Instrument,IPNb,XAb,OTb,RAb,IAUC,zc,ra,dec,sod,seen_by_fermi,fermi_in_game,name
220921A,04h27m10s -40° 15',25,Fermi,y,y,y,,,,66.79166666666667,-40.25,0.0,False,,
220910A,00h34m56s -01° 45',61*19,IPN,y,,,,,,8.733333333333333,-1.75,0.0,False,True,
220909A,14h24m11s -08° 51',3,Swift,y,,,,,,216.04583333333332,-8.85,24733.82,False,True,
220907A,17h55m29s -20° 19',3,Swift,y,y,,,,,268.8708333333333,-20.316666666666666,50725.76,False,True,
220905A,23h00m48s -35° 24',180,IPN,y,,,,,,345.19999999999993,-35.4,41323.7,False,True,
220903A,11h55m11s -29° 42',236*38,IPN,y,,,,,,178.7958333333333,-29.7,44178.17,False,True,
220831AS,01h37m01s -41° 45',2,Swift,y,y,y,,,,24.254166666666666,-41.75,0.0,False,False,
220826A,13h45m44s -44° 03',3,Swift,y,y,y,,,,206.4333333333333,-44.05,42921.74,False,True,
220813A,05h26m00s -32° 59',3,Swift,y,y,y,,,,81.5,-32.983333333333334,0.0,False,False,
220806A,17h23m30s -26° 01',3,Swift,,,,,,,260.87499999999994,-26.016666666666666,0.0,False,False,
220730AS,15h00m05s -69° 30',3,Swift,y,y,,,,,225.0208333333333,-69.5,0.0,False,False,
220715B,16h59m33s -33° 36',3,Swift,y,y,,,,,254.88749999999996,-33.6,80682.17,False,True,
220714B,03h08m17s -19° 20',3,Swift,y,y,y,,,,47.070833333333326,-19.333333333333332,50284.55,False,True,
220711B,17h27m58s +24° 40',3,Swift,y,y,y,,,,261.9916666666666,24.666666666666668,65788.69,False,True,
220710A,14h46m22s +20° 39',2,Swift,y,y,,,,,221.59166666666664,20.65,0.0,False,False,
220708B,16h34m36s +36° 20',5,Swift,y,y,,,,,248.64999999999998,36.333333333333336,0.0,False,False,
220708A,06h52m28s +72° 11',3,Swift,,y,,,,,103.11666666666666,72.18333333333334,0.0,False,False,
220706A,00h02m21s -16° 23',3,Swift,,y,,,,,0.5874999999999999,-16.383333333333333,0.0,False,False,
220701A,16h09m55s +55° 25',3,Swift,,y,,,,,242.47916666666663,55.416666666666664,0.0,False,False,
220627A,13h24m48s -32° 30',12,Fermi,y,y,y,y,,3.084,201.2,-32.5,0.0,False,,
220624A,11h57m24s +16° 41',33*4,Fermi,y,,,,,,179.34999999999997,16.683333333333334,0.0,False,,
220623A,09h41m51s +75° 50',3,Swift,y,y,,,,,145.46249999999998,75.83333333333333,0.0,False,False,
220618A,02h35m52s +55° 13',3,Swift,y,y,,,,,38.96666666666666,55.21666666666667,33029.92,False,True,
220617AS,10h27m50s +15° 32',5,Fermi,y,,,,,,156.95833333333331,15.533333333333333,0.0,False,,
220611A,04h26m06s -37° 17',3,Swift,,y,y,,,2.3608,66.525,-37.28333333333333,0.0,False,False,
220609B,23h11m10s +00° 23',114*8,IPN,y,,,,,,347.79166666666663,0.38333333333333336,0.0,False,False,
220606BS,01h53m54s -54° 55',5,Swift,y,,,,,,28.474999999999994,-54.916666666666664,0.0,False,False,
220601A,14h58m49s -47° 59',420*11,IPN,y,,,,,,224.70416666666662,-47.983333333333334,0.0,False,False,
220528AS,20h51m51s +18° 51',408*21,IPN,y,,,,,,312.9625,18.85,0.0,False,False,
220527A,21h34m17s +21° 34',5,Fermi,y,y,y,,,0.857,323.5708333333333,21.566666666666666,0.0,False,,
220525A,00h53m28s +16° 24',480*25,IPN,y,,,,,,13.366666666666665,16.4,654.24,False,True,
220524B,04h41m06s -19° 29',206*4,IPN,y,,,,,,70.275,-19.483333333333334,0.0,False,False,
220524A,01h23m27s +46° 35',100*5,IPN,y,,,,,,20.862499999999997,46.583333333333336,0.0,False,False,
220521B,03h41m51s +38° 59',558*5,IPN,y,,,,,,55.4625,38.983333333333334,0.0,False,False,
220521A,18h20m47s +10° 23',3,Swift,y,y,y,,,5.6,275.1958333333333,10.383333333333333,84021.44,False,True,
220519A,23h51m08s -09° 31',43*28,IPN,y,,,,,,357.7833333333333,-9.516666666666667,0.0,False,False,
220518A,03h41m29s -47° 34',3,Swift,,y,,,,,55.37083333333333,-47.56666666666667,0.0,False,False,
220514B,16h23m09s +61° 39',60,MAXI,y,,,,,,245.7875,61.65,0.0,False,False,
220514A,09h50m44s +13° 10',3,INTEGRAL,y,,y,,,,147.68333333333334,13.166666666666666,44670.53,False,True,
220511A,19h09m47s +17° 44',7,Swift,y,y,,,,,287.44583333333327,17.733333333333334,49316.87,False,True,
220506A,15h58m05s -27° 02',21,MAXI,y,y,,,,,239.5208333333333,-27.033333333333335,0.0,False,False,
220501A,05h42m18s +14° 02',3,Swift,y,,,,,,85.57499999999999,14.033333333333333,71511.22,False,True,
220430A,06h30m27s +09° 31',3,Swift,y,y,,,,,97.6125,9.516666666666667,0.0,False,False,
220427A,18h23m29s -56° 15',3,Swift,,y,y,,,,275.8708333333333,-56.25,0.0,False,False,
220426A,22h34m46s -23° 00',96*14,IPN,y,,,,,,338.6916666666666,-23.0,24591.23,False,True,
220423A,01h23m08s +22° 12',138*29,IPN,y,,,,,,20.783333333333328,22.2,0.0,False,False,
220418BS,14h57m19s -17° 30',5,Swift,y,,,,,,224.32916666666662,-17.5,0.0,False,False,
220414A,03h25m08s -00° 21',60,MAXI,,,,,,,51.283333333333324,-0.35,0.0,False,False,
220412BS,21h23m11s -00° 13',3,Swift,y,,,,,,320.7958333333333,-0.21666666666666667,0.0,False,False,
220412A,08h15m52s +30° 19',3,Swift,,y,y,,,,123.96666666666665,30.316666666666666,0.0,False,False,
220408B,06h10m09s -49° 37',240*48,IPN,y,,,,,,92.5375,-49.61666666666667,26884.65,False,True,
220408A,13h29m36s +47° 04',3,Swift,y,y,y,,,,202.39999999999995,47.06666666666667,20764.22,False,True,
220406AS,21h39m59s +64° 56',276*3,IPN,y,,,,,,324.9958333333333,64.93333333333334,0.0,False,False,
220404A,03h21m47s +10° 00',3,Swift,,,,,,,50.445833333333326,10.0,0.0,False,False,
220403C,01h10m17s -56° 14',18*4,IPN,y,,,,,,17.570833333333333,-56.233333333333334,36602.66,False,True,
220403B,12h44m06s +89° 10',3,Swift,y,y,y,,,,191.02499999999998,89.16666666666667,74562.65,False,True,
220325A,17h57m56s -07° 02',3,Swift,y,y,,,,,269.4833333333333,-7.033333333333333,62183.05,False,True,
220320A,06h16m36s -55° 55',7*3,IPN,y,,,,,,94.14999999999999,-55.916666666666664,0.0,False,True,
220319A,14h32m50s +61° 17',3,Swift,,y,,,,,218.20833333333331,61.28333333333333,0.0,False,False,
220311A,10h31m54s +66° 05',3,INTEGRAL,y,,,,,,157.975,66.08333333333333,59598.4,False,True,
220310C,19h20m17s +40° 15',5,Swift,y,,,,,,290.0708333333333,40.25,80631.43,False,True,
220310A,11h14m27s +23° 27',11,MAXI,y,,y,,,,168.61249999999998,23.45,0.0,False,False,
220308A,17h48m25s +11° 39',225*25,IPN,y,,,,,,267.10416666666663,11.65,0.0,False,True,
220306B,00h21m31s +71° 21',3,Swift,y,y,y,,,,5.3791666666666655,71.35,65737.47,False,True,
220305B,11h44m27s -32° 33',729*4,IPN,y,,,,,,176.11249999999998,-32.55,41600.48,False,True,
220305A,07h10m20s -37° 42',3,Swift,y,y,,,,,107.58333333333333,-37.7,58388.61,False,True,
