name ra dec ra1 dec1ra2 dec2 ra3 dec3 ra4 dec4 aGBM aIPN ratio
bn111221739 12.955 -35.959 12.456 -36.525 13.654 -35.586 12.242 -36.320 13.438 -35.382 765. 0.359 2130.0
bn111222619 179.084 69.038 179.374 69.108 179.030 69.133 179.137 68.944 178.795 68.968 825. 0.022 37900.0
bn111230683 156.329 36.631 156.902 37.743 156.281 37.486 156.368 35.767 155.751 35.478 1200. 0.873 1380.0
bn111230819 244.622 -19.764 244.002 -23.379 245.685 -16.146 243.957 -22.434 245.233 -16.987 732. 1.690 432.0
bn120107384 245.216 -69.989 245.646 -70.195 245.858 -69.981 244.574 -69.994 244.794 -69.780 545. 0.095 5740.0
bn120118898 162.707 44.593 163.053 33.231 158.763 56.232 162.667 31.367 159.332 54.724 1030. 3.970 259.0
bn120119170 159.333 -62.101 158.832 -62.207 159.269 -62.268 159.396 -61.934 159.830 -61.993 847. 0.073 11500.0
bn120122300 91.618 17.135 91.437 33.770 89.977 33.377 92.428 0.807 93.690 0.566 927. 43.600 21.3
bn120129580 33.476 53.088 38.938 38.493 4.251 79.408 40.221 35.385 19.680 72.716 574. 7.080 81.1
bn120204054 298.351 -3.251 298.074 -3.244 298.009 -3.880 298.695 -2.647 298.627 -3.260 563. 0.366 1540.0
bn120206949 69.740 55.565 69.689 56.098 69.905 55.659 69.575 55.471 69.791 55.026 809. 0.107 7580.0
bn120217808 126.776 38.531 143.997 48.766 144.159 48.517 118.755 22.989 119.076 23.078 1600. 10.400 154.0
bn120217904 303.972 32.222 303.730 32.167 303.112 31.344 304.849 33.073 304.215 32.276 785. 0.270 2910.0
bn120222021 300.759 25.835 312.752 38.438 312.917 38.317 293.936 11.163 294.106 11.106 878. 7.160 123.0
bn120223933 222.359 -1.691 223.089 15.141 222.582 15.202 217.718 -18.291 218.240 -18.348 864. 17.400 49.7
bn120226447 96.071 57.009 105.665 72.576 106.360 72.452 92.766 38.919 93.075 38.929 932. 9.260 101.0
bn120226871 302.822 48.595 303.155 49.110 304.692 50.192 301.127 46.980 302.500 48.081 647. 0.511 1260.0
bn120227391 88.711 0.785 88.616 0.507 88.894 -1.127 88.530 2.750 88.806 1.064 1160. 0.461 2530.0
bn120227725 52.945 -89.404 69.582 -89.279 76.070 -87.037 269.905 -87.945 30.510 -89.458 35. 0.672 52.0
bn120304248 273.140 -47.191 272.394 -32.613 272.105 -32.663 274.362 -61.258 274.876 -61.277 607. 8.400 72.2
bn120316008 56.988 -56.114 57.164 -57.019 57.571 -54.829 56.345 -57.396 56.811 -55.211 566. 0.875 647.0
bn120323162 214.366 -45.513 226.920 -30.341 226.238 -29.894 190.181 -54.540 190.831 -55.178 935. 31.700 29.5
bn120323507 340.367 29.678 339.165 29.131 341.775 30.716 339.003 28.545 341.579 30.167 668. 1.020 653.0
bn120328268 228.698 26.374 227.644 29.578 230.093 22.782 227.064 29.845 229.572 23.111 589. 2.690 219.0
bn120415076 199.894 8.338 187.518 22.828 186.886 22.098 196.977 -8.685 197.840 -9.010 1330. 40.000 33.2
bn120426090 111.460 -65.417 111.237 -65.462 111.830 -65.708 111.099 -65.124 111.682 -65.371 540. 0.068 8000.0
bn120427054 225.008 28.938 225.240 28.928 225.242 28.407 224.768 29.463 224.775 28.947 714. 0.208 3440.0
bn120511638 233.400 -61.545 253.718 -52.304 253.364 -52.090 200.459 -63.244 200.520 -62.940 617. 11.500 53.7
bn120519721 178.014 21.984 178.094 22.279 178.246 22.107 177.783 21.859 177.934 21.686 978. 0.109 8980.0
bn120522361 52.429 57.350 69.097 55.583 33.350 54.438 70.726 54.779 35.600 54.799 788. 6.440 122.0
bn120526303 53.856 -35.166 53.871 -35.892 54.047 -34.413 53.656 -35.918 53.837 -34.441 581. 0.254 2290.0
bn120530121 174.513 70.582 163.818 55.465 215.365 82.808 163.046 54.785 210.484 82.653 564. 7.330 76.9
bn120603439 198.545 3.890 200.408 7.226 195.912 -1.015 200.680 7.481 196.293 -0.481 1480. 0.938 1580.0
bn120605453 224.757 46.159 224.822 46.322 224.934 46.122 224.579 46.196 224.692 45.995 1110. 0.045 25000.0
bn120612680 11.020 -35.407 82.395 -46.196 79.525 -45.483 354.620 -18.173 355.060 -16.023 2940. 150.000 19.6
bn120618128 79.683 76.429 145.502 75.514 145.994 75.782 52.701 64.244 53.262 64.081 732. 11.600 63.1
bn120618919 207.802 1.039 216.121 17.960 215.677 17.902 201.186 -13.631 201.428 -13.972 1110. 12.300 90.0
bn120624309 4.591 7.510 356.367 21.218 356.067 21.156 9.976 -4.889 10.190 -4.707 717. 9.470 75.7
bn120625119 46.204 50.327 45.860 52.127 46.219 48.318 46.246 52.309 46.566 48.517 619. 0.925 669.0
bn120707800 292.590 -35.477 293.795 -39.694 291.277 -30.401 293.910 -39.523 291.364 -30.100 520. 1.230 422.0
bn120709883 319.461 -50.236 320.923 -50.305 317.746 -50.637 321.148 -49.776 318.013 -50.127 574. 1.000 573.0
bn120710100 124.865 -15.969 142.203 -16.313 141.263 -15.646 113.722 -10.104 112.642 -10.391 1710. 42.200 40.6
