grb,blocked
GRB171007498,"[0, 1, 2, 3, 4, 5, 12]"
GRB171120556,"[0, 1, 2, 3, 4, 5]"
GRB171222684,"[0, 1, 2, 3, 4, 5, 12]"
GRB180102660,"[0, 1, 2, 3, 4, 5, 12]"
GRB180113116,"[6, 7, 8, 9, 10, 11, 13]"
GRB180204109,"[6, 7, 8, 9, 10, 11, 13]"
GRB180205184,"[0, 1, 2, 3, 4, 5, 12]"
GRB180314030,"[0, 3, 4, 5]"
GRB180402406,"[0, 1, 2, 3, 4, 5, 12]"
GRB180404091,"[9, 10, 11]"
GRB180410336,"[0, 3, 4, 5]"
GRB180411519,"[6, 7, 8, 9, 10, 11, 13]"
GRB180418281,"[0, 1, 2, 3, 4, 5, 12]"
GRB180618030,"[0, 1, 2, 3, 4, 5, 12]"
GRB180620660,[]
GRB180630467,[]
GRB180706351,"[0, 1, 2, 3, 4, 5, 12]"
GRB180715755,"[0, 1, 2, 3, 4, 5, 12]"
GRB180720598,[]
GRB180720933,[0]
GRB180727594,[]
GRB180728728,"[3, 5]"
GRB180805543,"[9, 10, 11]"
GRB180812349,"[0, 1, 2, 3, 4, 5]"
GRB180818520,"[0, 1, 3, 4, 5]"
GRB180828790,[0]
GRB181010247,"[6, 8, 9, 10, 11, 13]"
GRB181027076,"[0, 1, 2, 3, 4, 5, 12]"
GRB181125371,[0]
GRB181126413,"[0, 1, 2]"
GRB181228120,"[6, 7, 8, 9, 10, 11, 13]"
GRB190109217,"[6, 7, 8, 9, 10, 11, 13]"
GRB190109497,"[6, 7, 8, 9, 10, 11, 13]"
GRB190110726,[6]
GRB190114873,"[8, 9, 10, 11, 13]"
GRB190123513,"[6, 7, 8, 9, 10, 13]"
GRB190202069,"[0, 1, 2]"
GRB190311600,"[0, 1, 2, 3, 4, 5, 12]"
GRB190320052,"[0, 1, 2]"
GRB190324947,"[9, 10, 11]"
GRB190331093,"[6, 7, 8, 9, 10, 11, 13]"
GRB190422957,[]
GRB190427190,"[6, 9, 10, 11]"
GRB190511302,"[0, 1, 2, 3, 4, 5, 12]"
GRB190512611,"[6, 7, 8, 9, 11]"
GRB190515190,"[0, 3, 4, 5]"
GRB190519309,"[0, 1, 2]"
GRB190613449,"[6, 7, 8, 9, 10, 11, 13]"
GRB190719624,"[0, 1, 2, 3, 4, 5, 12]"
GRB190727846,"[0, 1, 2, 3, 4, 5, 12]"
GRB190824616,"[3, 4, 5]"
GRB190828542,"[0, 1, 2, 3, 4, 5, 12]"
GRB190829830,"[6, 7, 8, 9, 10, 11, 13]"
GRB191011192,"[9, 10, 11]"
GRB191031025,"[0, 1, 2, 3, 4, 5, 12]"
GRB191031780,"[0, 1, 2]"
GRB191031891,"[6, 7, 9, 10, 11]"
GRB191101895,"[0, 1, 2, 3, 4, 5, 12]"
GRB191227069,"[6, 7, 8, 10, 11, 13]"
GRB200107810,[]
GRB200109074,"[6, 7, 8, 9, 10, 11, 13]"
GRB200215611,"[6, 9, 10, 11, 13]"
GRB200216564,"[0, 1, 2, 3, 4, 5]"
GRB200219317,[6]
GRB200224212,"[0, 1, 2, 3, 4, 5, 12]"
GRB200227306,"[6, 7, 8, 9, 10, 11, 13]"
GRB200228469,"[0, 1, 2, 3, 4, 5, 12]"
GRB200303107,"[0, 1, 2, 3, 4, 5, 12]"
GRB200411187,"[9, 10, 11]"
GRB200416295,"[6, 7, 8, 13]"
GRB200528436,"[0, 1, 2, 3, 4, 5, 12]"
GRB200529039,"[0, 1, 2, 3, 4, 5, 12]"
GRB200711461,"[6, 7, 8, 9, 10, 11, 13]"
GRB200716957,"[0, 1, 2, 3, 4, 5, 12]"
GRB200829582,"[0, 1, 2, 3, 5]"
GRB200901158,"[9, 10, 11]"
GRB200903031,"[0, 1, 2, 3, 4, 5, 12]"
GRB200906550,"[6, 9]"
GRB201001416,"[0, 1, 2, 3, 4, 5, 12]"
GRB201006054,"[6, 7, 8, 9, 10, 11, 13]"
GRB201017407,"[6, 7, 8, 9, 10, 11, 13]"
GRB201020241,"[0, 1, 2, 3, 5]"
GRB201021852,[]
GRB201026943,"[0, 1, 2, 3, 4, 5]"
GRB201105215,"[0, 1, 2, 3, 4, 5, 12]"
GRB201214672,[3]
GRB201216963,"[6, 8, 9, 10, 11]"
GRB201221963,"[0, 1, 2, 3, 4, 5, 12]"
GRB201223749,"[0, 1, 2, 3, 4, 5, 12]"
GRB210102861,"[3, 4, 5]"
GRB210104477,"[0, 1, 3, 4, 5]"
GRB210119121,"[6, 7]"
GRB210211363,[]
GRB210226197,"[0, 1, 2, 3, 4, 5, 12]"
GRB210305794,"[6, 7, 8, 9, 10, 11, 13]"
GRB210306397,"[6, 7, 8, 13]"
