GRBa,GRB X-ray position,Error,Instrument,IPNb,XAb,OTb,RAb,IAUC,zc,position,sod,seen_by_fermi,name
220117A,06h06m19s -28° 25',3,Swift,y,y,,,,4.961,"<SkyCoord (ICRS): (ra, dec) in deg
    (91.57916667, -28.41666667)>",58731.54,True,bn220117685
220107A,11h19m03s +34° 08',10,Swift,y,y,y,,,1.246,"<SkyCoord (ICRS): (ra, dec) in deg
    (169.7625, 34.13333333)>",53131.93,True,bn220107615
220101A,00h05m31s +31° 45',3,Swift,y,y,y,y,,4.618,"<SkyCoord (ICRS): (ra, dec) in deg
    (1.37916667, 31.75)>",18611.51,True,bn220101215
211221A,05h15m45s +00° 56',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (78.9375, 0.93333333)>",74920.82,True,bn211221867
211219A,03h54m37s -34° 37',82*6,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (58.65416667, -34.61666667)>",53722.57,True,bn211219622
211211A,14h09m05s +27° 53',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (212.27083333, 27.88333333)>",47399.6,True,bn211211549
211207A,09h58m30s -24° 21',3,Swift,,y,y,,,2.272,"<SkyCoord (ICRS): (ra, dec) in deg
    (149.625, -24.35)>",75176.77,True,bn211207875
211204C,22h35m48s +52° 10',270*4,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (338.95, 52.16666667)>",77820.55,True,bn211204901
211130A,01h24m35s -27° 50',126*6.5,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (21.14583333, -27.83333333)>",54987.03,True,bn211130636
211129A,18h18m14s +31° 47',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (274.55833333, 31.78333333)>",35466.23,True,bn211129410
211120A,21h00m33s +42° 51',23*0.7,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (315.1375, 42.85)>",47386.84,True,bn211120548
211115A,08h11m30s -25° 40',60,MAXI,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (122.875, -25.66666667)>",47386.84,True,bn211115553
211106A,22h54m34s -53° 14',7,INTEGRAL,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (343.64166667, -53.23333333)>",16651.23,True,bn211106198
211019A,07h07m57s -38° 47',43*2,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (106.9875, -38.78333333)>",21571.19,True,bn211019250
210927B,17h32m05s +73° 47',76*2,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (263.02083333, 73.78333333)>",21571.19,True,bn210927255
210925B,03h15m16s -52° 52',138*2.5,IPN,y,n,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (48.81666667, -52.86666667)>",4808.68,True,bn210925056
210905A,20h36m15s -44° 26',3,Swift,y,y,,y,,6.318,"<SkyCoord (ICRS): (ra, dec) in deg
    (309.0625, -44.43333333)>",761.32,True,bn210905014
210824A,15h28m32s +11° 08',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (232.13333333, 11.13333333)>",15001.64,True,bn210824174
210822A,20h17m54s +05° 16',3,Swift,y,y,y,y,,1.736,"<SkyCoord (ICRS): (ra, dec) in deg
    (304.475, 5.26666667)>",33498.16,True,bn210822393
210807C,09h34m12s -51° 25',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (143.55, -51.41666667)>",82628.49,True,bn210807955
210731A,20h01m15s -28° 02',3,Swift,y,y,y,,,1.2525,"<SkyCoord (ICRS): (ra, dec) in deg
    (300.3125, -28.03333333)>",80468.53,True,bn210731931
210730A,09h58m22s +69° 42',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (149.59166667, 69.7)>",17849.21,True,bn210730207
210727A,12h36m55s -59° 56',548*22,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (189.22916667, -59.93333333)>",35446.74,True,bn210727410
210725B,12h51m44s +17° 07',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (192.93333333, 17.11666667)>",43248.02,True,bn210725506
210725A,14h21m27s -01° 11',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (215.3625, -1.18333333)>",13622.93,True,bn210725158
210723A,08h06m54s -32° 50',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (121.725, -32.83333333)>",53170.91,True,bn210723615
210722A,01h48m06s -06° 21',3,Swift,y,y,y,,,1.145,"<SkyCoord (ICRS): (ra, dec) in deg
    (27.025, -6.35)>",75282.02,True,bn210722871
210712A,06h29m21s -35° 24',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (97.3375, -35.4)>",34991.9,True,bn210712405
210708A,11h34m48s -49° 11',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (173.7, -49.18333333)>",8737.08,True,bn210708106
210707A,12h50m11s -63° 17',3,INTEGRAL,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (192.54583333, -63.28333333)>",80720.47,True,bn210707939
210706A,20h48m03s +13° 18',5,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (312.0125, 13.3)>",29869.86,True,bn210706346
210619B,21h18m51s +33° 52',3,Swift,y,y,y,,,1.937,"<SkyCoord (ICRS): (ra, dec) in deg
    (319.7125, 33.86666667)>",86365.41,True,bn210619999
210618A,15h43m17s +46° 03',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (235.82083333, 46.05)>",6217.0,True,bn210618072
210610B,16h15m45s +14° 23',3,Swift,y,y,y,,,1.13,"<SkyCoord (ICRS): (ra, dec) in deg
    (243.9375, 14.38333333)>",71487.51,True,bn210610827
210610A,13h37m08s +14° 29',3,Swift,y,y,y,,,3.54,"<SkyCoord (ICRS): (ra, dec) in deg
    (204.28333333, 14.48333333)>",54223.38,True,bn210610628
210605A,01h26m26s -45° 05',540*8,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (21.60833333, -45.08333333)>",54223.38,True,bn210605633
210531A,09h22m22s +08° 17',378*60,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (140.59166667, 8.28333333)>",43201.65,True,bn210531500
210524A,22h54m15s -46° 40',408*4,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (343.5625, -46.66666667)>",17999.09,True,bn210524208
210511B,20h51m39s +58° 23',456*6,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (312.9125, 58.38333333)>",41199.26,True,bn210511477
210506A,17h48m25s +11° 39',2580*222,INTEGRAL,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (267.10416667, 11.65)>",41199.26,True,bn210506482
210421B,18h03m16s +56° 50',5,INTEGRAL,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (270.81666667, 56.83333333)>",39284.81,True,bn210421455
210413B,12h10m14s +55° 58',3,Swift,,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (182.55833333, 55.96666667)>",39284.81,True,bn210413460
210410A,17h59m01s +45° 22',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (269.75416667, 45.36666667)>",3196.52,True,bn210410037
210406A,08h49m56s +76° 32',3,INTEGRAL,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (132.48333333, 76.53333333)>",61888.92,True,bn210406716
