Trigger	swift_ra	swift_dec	balrog_ra	balrog_dec	balrog_off	balrog_model	dol_ra	dol_dec	dol_err	dol_off	fluence	peak_flux
120913997	213.6	-14.5	211.7 +or- 2.7	-18.7 +or- 1.6	4.6	pl	214.8	-16.6	1.5	2.4	2.0 middot 10^-5	5.3	
121031949	170.8	-3.5	167.7 +or- 2.5	-5.3 +or- 2.9	3.6	pl	173.1	-1.9	3.4	2.8	1.5 middot 10^-5	7.4	
121128212	300.6	54.3	300.3 +or- 1.9	57.3 +or- 1.4	3.0	cpl	278.8	41.6	1.5	19.2	9.3 middot 10^-6	1.8 middot 10^1	
130216790	58.9	2.0	61.6 +or- 1.6	-3.2 +or- 1.7	5.9	pl	61.7	3.5	2.3	3.2	4.9 middot 10^-6	1.5 middot 10^1	
130216927	67.9	14.7	70.8 +or- 0.7	14.3 +or- 1.3	2.8	pl	69.4	16.3	1.5	2.2	5.9 middot 10^-6	9.2	
130305486	116.8	52.0	115.5 +or- 0.6	51.6 +or- 0.6	0.9	cpl	119.7	49.0	1.0	3.5	4.6 middot 10^-5	2.7 middot 10^1	
130306991	279.5	-11.8	278.1 +or- 0.6	-10.4 +or- 0.4	1.9	cpl	276.9	-11.5	1.0	2.6	1.2 middot 10^-4	2.9 middot 10^1	
130420313	196.1	59.4	198.7 +or- 22.7	59.6 +or- 5.2	1.3	cpl	205.7	58.8	4.4	5.0	1.2 middot 10^-5	5.4	
130427324	173.1	27.7	172.3 +or- 0.5	28.5 +or- 0.5	1.0	cpl	172.5	25.5	1.0	2.3	2.5 middot 10^-3	1.1 middot 10^3	
130502327	66.8	71.1	67.1 +or- 1.9	71.0 +or- 0.6	0.1	cpl	77.0	70.3	1.0	3.5	1.0 middot 10^-4	4.6 middot 10^1	
130504978	91.6	3.8	93.8 +or- 0.5	4.2 +or- 0.3	2.2	cpl	90.7	4.3	1.0	1.0	1.3 middot 10^-4	4.3 middot 10^1	
130518580	355.7	47.5	352.8 +or- 0.3	46.9 +or- 0.3	2.1	cpl	356.3	47.0	1.0	0.6	9.5 middot 10^-5	4.5 middot 10^1	
130609902	53.8	-40.2	50.1 +or- 1.7	-37.9 +or- 1.3	3.7	cpl	51.9	-42.9	1.0	3.1	5.4 middot 10^-5	1.4 middot 10^1	
130727698	330.8	-65.5	328.6 +or- 4.0	-63.3 +or- 6.4	2.4	cpl	326.1	-64.1	2.5	2.4	8.2 middot 10^-6	1.1 middot 10^1	
130925173	41.2	-26.1	33.9 +or- 3.4	-27.9 +or- 2.3	6.8	pl	cdots	cdots	cdots	cdots	8.5 middot 10^-5	1.1 middot 10^1	
131229277	85.2	-4.4	86.5 +or- 1.1	-6.8 +or- 1.3	2.7	cpl	cdots	cdots	cdots	cdots	2.6 middot 10^-5	2.4 middot 10^1	
140108721	325.1	58.7	326.2 +or- 2.3	59.3 +or- 1.2	0.8	cpl	cdots	cdots	cdots	cdots	2.0 middot 10^-5	1.0 middot 10^1	
140206304	145.3	66.8	147.9 +or- 1.7	68.3 +or- 1.2	1.8	cpl	cdots	cdots	cdots	cdots	1.6 middot 10^-5	1.7 middot 10^1	
140209313*	81.3	32.5	84.2 +or- 0.2	31.2 +or- 0.3	2.8	cpl	cdots	cdots	cdots	cdots	9.0 middot 10^-6	5.8 middot 10^1	
140213807	105.2	-73.1	103.7 +or- 16.9	-72.0 +or- 1.1	1.3	cpl	cdots	cdots	cdots	cdots	2.1 middot 10^-5	3.7 middot 10^1	
140323433	357.0	-79.9	357.6 +or- 4.7	-76.7 +or- 1.2	3.2	cpl	cdots	cdots	cdots	cdots	3.2 middot 10^-5	9.7	
140506880	276.8	-55.6	275.5 +or- 5.7	-56.3 +or- 3.0	1.0	cpl	cdots	cdots	cdots	cdots	6.6 middot 10^-6	1.6 middot 10^1	
